Size,,,VIDEO LENGTH
120x20,,,05s
120x600,,,10s
160x600,,,15s
168x28,,,20s
180x150,,,30s
216x36,,,45s
234x60,,,90s
250x250,,,01m
300x250,,,02m
300x50,,,05m
300x600,,,10m
320x480,,,20m
320x50,,,Live
320x600,,,N/A
336x280,,,
468x210,,,
468x60,,,
480x320,,,
600x300,,,
627x627,,,
728x300,,,
728x90,,,
768x1024,,,
970x250,,,
970x90,,,
1024x768,,,
1200x627,,,
