Network,Program,Season,Campaign Type,Campaign Custom,Start Year,Start Month,Start Day,End Year,End Month,End Day,Campaign ID,Agency,Publisher,Buy Method,Inventory Type,Package Custom,Package ID,Episode Start,Episode End,Tentpole Details,Tactic,Device,Ad Type,Targeting Type 1,Targeting Type 2,Targeting Type 3,Targeting Type 4,Audience Type,Width,Height,Placement ID,Creative Group,Ad Custom,Ad ID,Creative Network,Creative Program,Creative Season,Creative Message,Creative Theme Custom,Creative Version Number,A/B Test Label,Video Length,Creative Start Month,Creative Start Day,Creative End Month,Creative End Day,Creative Id,Omniture Code
Content Distribution,Mockingbird,N/A,Awareness,-,2017,03,31,2017,04,27,CDI_MKBD_X_AW_-_20170331-20170427,ASG,Google Search,Dynamic CPM,Run of Site,-,CDI_MKBD_X_ASG_GSRC_DCI_ROS_-,,,X,Search,Desktop/Mobile/Tablet,Text Link,None,None,None,None,X,1,1,CDI_MKBD_X_X_ASG_SRC_DMT_GSRC_DCI_TXT_ROS_XX-XX-XX-XX_X_1x1_0331-0427,Always On,X,CDI_MKBD_X_AON_GSRC_1x1_X,Nickelodeon,N/A,N/A,Multiple Creative Rotation (tracking pixel),X,01,Not Applicable,,02,03,03,03,CDI_MKBD_X_AON_MC_X_01_XX_1x1_0203-0303,/?xrs=crm_CDI_MKBD_X_GSRC
CMT,I Love Kellie Pickler,N/A,Tune-In,Q2-17,2017,04,01,2017,06,30,,ASG,Facebook,Dynamic CPV (Cost per View),Run of Exchange,-,CMT_ILKP_X_ASG_FCBK_DVW_ROE_-,,,X,Display Banner,Desktop/Mobile/Tablet,Non-Skippable Video,None,None,None,None,-,,,CMT_ILKP_X_X_ASG_DIS_DMT_FCBK_DVW_NSV_ROE_XX-XX-XX-XX_-_X_0401-0630,Always On,x,CMT_ILKP_X_AON_FCBK_X_x,Nickelodeon,N/A,N/A,Now,PrePhase1,01,Not Applicable,15s,02,03,03,03,CMT_ILKP_X_AON_NW_PrePhase1_01_XX_15s_0203-0303,/?xrs=crm_CMT_ILKP_X_FCBK
